23	Maderas	tablas madera pino dimensionada
24	Gasfiteria	tubos pvc fitting gasfiteria
25	Otros	carbon asado parrilla
26	Cercos y Mallas	malla acma rollo alambre cerco
27	Perfiles y Planchas	perfiles metalicos metalcon
28	Bano Cocina y Loggia	griferia bano cocina llave
29	Techumbres	plancha zinc acanalada techo
