1	Fierros Construccion	fierro estriado construccion barras acero
4	Herramientas y Maq	set caja herramientas surtido
10	Fijaciones	tornillos pernos tuercas surtido
11	Cerraduras	candado cerradura puerta
12	Quincalleria	bisagras ruedas quincalleria
13	Adhesivos y Sellantes	silicona adhesivo sellador
14	Aditivos e Impermeabilizantes	impermeabilizante aditivo construccion
15	Aislacion	lana vidrio aislacion termica rollo
