16	Tabiqueria	plancha volcanita osb tabiqueria
17	Techumbre	plancha zinc acanalada techo
18	Pinturas	tarros pintura brochas colores
19	Electricidad e Iluminacion	materiales electricos cables enchufes
20	Jardin	herramientas jardin riego
21	Seguridad Industrial	casco guantes lentes proteccion personal
22	Cementos y Aridos	sacos cemento construccion
