codigo,nombre,precio_sitio_actual,precio_excel,variacion_pct,motivo
203987006,"Tarugo Nylon N# 10 Bolsa 500 UN",24020,50,-99.8,"posible desajuste de envase (unidad vs paquete); costo unitario Excel $24"
5-17,"Pistola Calefatera Profes",11540,2050,-82.2,"posible desajuste de envase (unidad vs paquete); costo unitario Excel $1,845"
625227,"Pegamento AGOREX 240cc Tarro",10290,3900,-62.1,"posible desajuste de envase (unidad vs paquete); costo unitario Excel $1,845"
12-7,"TIJERA HOJALATERA 10 RECTA",7660,3000,-60.8,"posible desajuste de envase (unidad vs paquete); costo unitario Excel $2,737"
686274,"Acople para Manguera 3/4 (Hembra)",850,390,-54.1,"posible desajuste de envase (unidad vs paquete); costo unitario Excel $339"
686110,"Carros Aereo Doble D-100 Ducasse Par",18500,8500,-54.1,"posible desajuste de envase (unidad vs paquete); costo unitario Excel $5,601"
